Money;Date
204.11;2021-04-15 02:31:10.254180
205.11;2021-04-15 02:31:49.988471
206.15;2021-04-15 02:32:46.525890
204.09;2021-04-15 02:34:08.941227
204.09;2021-04-15 02:34:32.761536
202.05;2021-04-15 02:36:02.043349
203.00;2021-04-15 02:36:24.778104
204.00;2021-04-15 02:39:56.313520
204.00;2021-04-15 02:40:20.093427
204.38;2021-04-15 02:40:43.953437
200.34;2021-04-15 02:42:07.140312
200.34;2021-04-15 02:42:30.934482
201.32;2021-04-15 02:43:21.749793
202.35;2021-04-15 02:45:07.185700
203.30;2021-04-15 02:45:26.708302
201.27;2021-04-15 02:47:24.763138
202.27;2021-04-15 02:48:06.469898
203.28;2021-04-15 02:49:04.888130
204.30;2021-04-15 02:49:44.185705
202.26;2021-04-15 02:50:52.521334
202.26;2021-04-15 02:51:16.223169
202.26;2021-04-15 02:51:39.956748
203.25;2021-04-15 02:53:34.717020
204.24;2021-04-15 02:56:36.180084
205.26;2021-04-15 03:00:35.306011
206.31;2021-04-15 03:02:10.918062
207.32;2021-04-15 03:03:17.151199
205.25;2021-04-15 03:03:40.906464
206.38;2021-04-15 03:04:26.047275
204.32;2021-04-15 03:04:45.517087
202.28;2021-04-15 03:05:09.300816
203.25;2021-04-15 03:05:32.616873
204.24;2021-04-15 03:06:57.156032
202.20;2021-04-15 03:09:45.855217
202.20;2021-04-15 03:10:09.634179
203.21;2021-04-15 03:10:55.945844
204.22;2021-04-15 03:11:33.097755
202.18;2021-04-15 03:12:09.185831
200.16;2021-04-15 03:12:30.870225
200.16;2021-04-15 03:12:54.654399
201.18;2021-04-15 03:14:41.618931
202.13;2021-04-15 03:15:03.813861
200.11;2021-04-15 03:16:00.488831
198.11;2021-04-15 03:16:24.302483
201.51;2021-04-15 03:16:48.151112
197.53;2021-04-15 03:18:28.463753
195.55;2021-04-15 03:19:31.722815
195.55;2021-04-15 03:19:55.509856
195.55;2021-04-15 03:20:40.894751
193.59;2021-04-15 03:21:31.301330
193.59;2021-04-15 03:21:55.027190
194.31;2021-04-15 03:22:18.881409
193.37;2021-04-15 03:22:53.788057
194.35;2021-04-15 03:23:13.847207
195.24;2021-04-15 03:24:04.875590
196.22;2021-04-15 03:25:42.341957
194.26;2021-04-15 03:26:34.454090
194.26;2021-04-15 03:26:58.196583
195.17;2021-04-15 03:27:22.019467
196.11;2021-04-15 03:27:42.045396
197.11;2021-04-15 03:28:13.676652
198.11;2021-04-15 03:28:56.966734
199.12;2021-04-15 03:29:51.688214
200.10;2021-04-15 03:30:13.938102
201.12;2021-04-15 03:30:34.525661
202.12;2021-04-15 03:31:23.625752
203.05;2021-04-15 03:33:27.988141
203.05;2021-04-15 03:33:51.808355
202.02;2021-04-15 03:35:08.026722
200.00;2021-04-15 03:35:32.250355
200.00;2021-04-15 03:35:56.024202
198.00;2021-04-15 03:37:16.686129
198.99;2021-04-15 03:37:41.423682
198.99;2021-04-15 03:38:05.188150
199.29;2021-04-15 03:38:28.981659
195.31;2021-04-15 03:38:54.269171
196.31;2021-04-15 03:39:23.744867
197.29;2021-04-15 03:39:59.699598
198.25;2021-04-15 03:40:36.451610
199.22;2021-04-15 03:41:16.596827
197.23;2021-04-15 03:43:07.907566
197.23;2021-04-15 03:43:31.695515
195.26;2021-04-15 03:45:06.532503
195.26;2021-04-15 03:45:30.300379
196.22;2021-04-15 03:46:38.492559
194.26;2021-04-15 03:47:02.236825
197.26;2021-04-15 03:47:26.015330
197.26;2021-04-15 03:47:49.826060
195.29;2021-04-15 03:54:16.093290
198.68;2021-04-15 03:54:39.898455
197.73;2021-04-15 03:56:12.343541
197.73;2021-04-15 03:56:36.127527
198.72;2021-04-15 03:56:56.734065
196.73;2021-04-15 03:57:53.492187
192.79;2021-04-15 03:58:17.371138
193.74;2021-04-15 03:58:44.613091
194.69;2021-04-15 03:59:32.853417
195.58;2021-04-15 04:00:44.237519
196.50;2021-04-15 04:01:28.631334
197.49;2021-04-15 04:02:38.110577
195.52;2021-04-15 04:03:31.051495
193.56;2021-04-15 04:03:52.641509
193.56;2021-04-15 04:04:16.383915
192.50;2021-04-15 04:06:29.258919
192.50;2021-04-15 04:06:53.027403
193.12;2021-04-15 04:07:16.854304
191.19;2021-04-15 04:07:42.265832
191.19;2021-04-15 04:08:06.027462
191.19;2021-04-15 04:09:11.962395
189.28;2021-04-15 04:09:35.735345
187.39;2021-04-15 04:09:59.500382
185.52;2021-04-15 04:10:23.256722
190.63;2021-04-15 04:10:47.089617
188.72;2021-04-15 04:11:20.689951
186.83;2021-04-15 04:11:44.427525
187.67;2021-04-15 04:12:14.655512
185.79;2021-04-15 04:13:35.351558
183.93;2021-04-15 04:13:59.194630
187.18;2021-04-15 04:14:22.952028
187.18;2021-04-15 04:14:46.731730
188.12;2021-04-15 04:15:37.359463
186.24;2021-04-15 04:16:29.327226
187.09;2021-04-15 04:16:53.086693
185.22;2021-04-15 04:17:16.752241
185.22;2021-04-15 04:17:40.473719
184.21;2021-04-15 04:19:49.050623
185.13;2021-04-15 04:20:27.847797
183.28;2021-04-15 04:23:08.038668
183.28;2021-04-15 04:23:31.808813
183.28;2021-04-15 04:25:12.009631
183.28;2021-04-15 04:25:35.842233
184.13;2021-04-15 04:26:23.315618
182.29;2021-04-15 04:27:22.606813
182.29;2021-04-15 04:27:46.409094
183.12;2021-04-15 04:28:10.169991
183.12;2021-04-15 04:28:33.895059
183.98;2021-04-15 04:29:08.697030
184.83;2021-04-15 04:29:43.257302
182.98;2021-04-15 04:30:16.330003
182.98;2021-04-15 04:30:40.089279
181.15;2021-04-15 07:45:53.153983
181.15;2021-04-15 07:47:35.279979
181.15;2021-04-15 07:50:34.707483
181.15;2021-04-15 07:51:51.849629
181.15;2021-04-15 07:54:55.163294
181.15;2021-04-15 07:56:27.112259
181.15;2021-04-15 08:05:53.906741
181.15;2021-04-15 08:06:55.418915
181.15;2021-04-15 08:28:28.878280
181.15;2021-04-15 08:35:50.664759
181.15;2021-04-15 08:42:54.140956
181.15;2021-04-15 08:47:11.249986
181.50;2021-04-15 09:06:02.130964
181.50;2021-04-15 09:06:22.117074
181.50;2021-04-15 09:14:40.896390
181.50;2021-04-15 09:35:48.911532
181.83;2021-04-15 09:54:02.441574
180.83;2021-04-15 09:55:27.292000
180.83;2021-04-15 09:55:47.347551
181.06;2021-04-15 09:56:54.390717
181.06;2021-04-15 09:57:14.277382
181.30;2021-04-15 09:58:34.490133
181.63;2021-04-15 09:58:54.524675
181.86;2021-04-15 09:59:28.314462
182.13;2021-04-15 09:59:57.672864
181.13;2021-04-15 10:01:40.838786
181.13;2021-04-15 10:02:00.721857
181.36;2021-04-15 10:04:16.253229
181.62;2021-04-15 10:05:04.853109
180.62;2021-04-15 10:06:40.952095
180.62;2021-04-15 10:07:00.878625
180.62;2021-04-15 10:08:07.502836
180.82;2021-04-15 10:09:00.877581
179.82;2021-04-15 10:09:57.653929
179.82;2021-04-15 10:10:17.675220
180.04;2021-04-15 10:10:51.761451
180.26;2021-04-15 10:12:04.846302
180.26;2021-04-15 10:12:24.761355
179.41;2021-04-15 10:12:50.080947
179.41;2021-04-15 10:13:09.896094
179.90;2021-04-15 10:14:08.570708
178.90;2021-04-15 10:14:26.849251
178.90;2021-04-15 10:14:46.779970
167.90;2021-04-15 10:15:06.720178
